Question Ref.,Ouestion Link,Asked by,Parliament Question,Date Lodged,Date Answered,Answered By,Answered Content,Web No.,Total Number of Pages
Question ref. S6W-00019,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00019,"Asked by: Lockhart, Dean, Mid Scotland and",To ask the Scottish Government whether it will provide an update on the action it is taking to promote (a) domestic and (b) international routes from Scottish airports to support the aviation industry’s recovery after the COVID-19 pandemic.,2021-05-13,2021-05-27,Answered by Graeme,"I refer the member to the answer to question S5W-35553 on 10 March 2021. All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers  .In addition to our work with the airports, the Scottish Government also has regular engagement with airlines. Most recently this included productive discussions held in April with 19 airlines, all of which are important to Scotland’s international connectivity. Given the commercial nature of these discussions I am unable to share specific details.We recognise that globally, as well as here in Scotland, the aviation industry faces one of the longest recovery periods given the impact of the Covid-19 pandemic on route networks, which is why we have extended the 100% non-domestic rates relief for the aviation sector for another year (2021-22).",457,461
Question ref. S6W-00083,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00083,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government whether it will align with Global Travel Taskforce arrangements simultaneously with other nations, to ensure that travel agents and the wider travel industry can resume business operations in line with the four nations approach.",2021-05-18,2021-05-27,Answered by Michael Math,"The Scottish Government will take decisions on international travel in the best interests of Scotland at the right time and based on the scientific evidence available. The Global Travel Taskforce and its recommendations are for the UK Government, but where possible we will continue to seek an aligned four nations approach to international travel restrictions.Recently, this has included alignment on the traffic light system for international travel which came into effect on 17 May 2021. Officials are in regular contact with the Department for Transport and the other devolved administrations on this issue as we make progress in responding to the pandemic.",457,461
Question ref. S6W-00066,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00066,"Asked by: Burnett, Alexander, Aberdeenshire",To ask the Scottish Government whether it will consider implementing the collection of lateral flow tests from local pharmacies or GP practices to allow those in rural communities or those who do not have digital access to collect free testing kits.,2021-05-17,2021-05-27,Answered by Maree ,"Testing for people who do not have COVID-19 symptoms was made available to everyone in Scotland on 26 April. Everyone can now access free lateral flow devices (LFD), for testing at home twice a week. To get a LFD test you can:order an LFD test kit pack online at  GOV.UK  for home deliverycollect a test kit from your  nearest COVID-19 test site  , by applying the “pick up sites for test kits” filter on the site finder.As announced at the launch of the universally accessible testing offer, we continue to explore other options for increasing accessibility of testing across Scotland including the option to collect LFD test kit from pharmacies. I expect to be in a position to confirm these arrangements shortly.The Scottish Testing Programme is kept under constant review in line with the latest clinical and scientific advice.",457,461
Question ref. S6W-00011,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00011,"Asked by: McArthur, Liam, Orkney Is",To ask the Scottish Government whether it will provide an update on its plans to introduce Road Equivalent Tariff (RET) on Northern Isles routes.,2021-05-13,2021-05-27,Answered by Graeme,"The Scottish Government remains committed to reducing fares on Northern Isles ferry routes.Following engagement with European Commission officials in 2019, Transport Scotland officials were developing proposals to introduce RET. This work was rightly paused in early 2020, while resources were pivoted to deal with the Covid outbreak, however work has recently resumed.Engagement between Transport Scotland officials and ferry operators has taken place and will continue as the work progresses. I will keep the member updated on progress.As the member is aware, fare reductions for passengers, cars and cabins have been introduced on Aberdeen-Kirkwall-Lerwick routes, in addition to the existing 30% discount for islanders.",457,461
Question ref. S6W-00028,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00028,"Asked by: Gibson, Kenneth, Cunninghame ",To ask the Scottish Government when social distancing requirements on ferries to Scotland's islands will be the same as that on aircraft flying to islands.,2021-05-14,2021-05-27,Answered by Graeme,"Physical distancing has been an important element in controlling the spread of COVID which is key to keeping our economy open and moving forward to recovery from the impacts of the virus.Much work has been undertaken by operators in order to safely maximise capacity on ferries. The exemption from 10 July 2020 to allow 1 metre distancing on ferries, with appropriate risk mitigations, significantly increased passenger capacity, and continues to ensure that ferry services can fully support the reopening of the tourism sector that is so essential for the sustainability of island and rural economies, as well as enabling islanders to travel to the mainland.The Scottish Government is reviewing physical distancing including its impact on Transport, and an announcement of the outcome of this review is due ahead of the planned move to Level 1 on 7 June. Sectoral guidance will be further updated at that time to reflect the outcome of the review. Physical distancing has been an important tool for controlling the virus but, as with all restrictions, we will only have this in place as long as is necessary.",457,461
Question ref. S6W-00071,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00071,"Asked by: McNeill, Pauline, Gl",To ask the Scottish Government how much money has been paid out from the Tenant Hardship Loan Fund.,2021-05-17,2021-05-27,Answered by Shona Rob,"As of 17 May 2021, the sum of £410,171.22 has been paid from the Tenant Hardship Loan Fund. The total value of successful applications is £472,404.72, with the remaining funds in the process of being paid. This is part of a range of measures to support tenants.",457,461
Question ref. S6W-00061,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00061,"Asked by: Burnett, Alexander, Aberdeenshire",To ask the Scottish Government what plans it has for administering COVID-19 vaccines suitable for (a) vulnerable and (b) disabled children who have been shielding.,2021-05-17,2021-05-26,Answered by Maree ,"Current JCVIadvice does not cover vaccination in those under 18 years old, so far only 16 and 17 years olds in groups 1-9 are covered.The Joint Committee on Vaccination and Immunisation (JCVI) advises that only those children at very high risk of exposure and serious outcomes, such as older children with severe neuro-disabilities that require residential care, should be offered vaccination with either the Pfizer-BioNTech or the AstraZeneca vaccine. We will continue to review our approach in line with JCVI advice.Clinical trials are currently underway for vaccination of children and young people.We will continue to engage with vaccine developers, and the JCVI so that if trials are successful we are ready to vaccinate younger age groups, if that is what the clinical and scientific evidence supports.",457,461
Question ref. S6W-00039,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00039,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government when it will consult on the licensing of grouse moors.,2021-05-14,2021-05-26,Answered by Graeme,"The Scottish Government remains committed to implementing the licensing of driven grouse shooting and is currently developing proposals for a full public and stakeholder consultation with the aim of bringing forward legislation during this parliamentary term.The timing of the consultation will depend on the legislative programme for the Parliament, which will be set out in due course.",458,461
Question ref. S6W-00053,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00053,"Asked by: Burnett, Alexander, Aberdeenshire","To ask the Scottish Government on what date it awarded the contracts for the R100 broadband programme, and when the detailed programme will be announced for the (a) Highlands and (b) north east.",2021-05-17,2021-05-26,Answered by Kate Fo,"The contracts for the Central and South lots of the Reaching 100% (R100) programme were signed on 16 December 2019. Contract signature for the North lot was completed on 11 December 2020, following dismissal of a legal challenge which had delayed contract signature.As outlined in the response to S6W-00008 on 24 May 2021, the Scottish Government provided Openreach with a finalised speed and coverage template (or SCT) for the R100 North lot contract at the end of March 2021, which covers both the Highlands and the north east of Scotland. The remodelling exercise to finalise their coverage footprint is ongoing and will be subject to rigorous review through Scottish Government governance and assurance structures, and those of Building Digital UK (BDUK). The full picture across the R100 North lot contract area is expected to be available by Summer 2021.The roll-out of R100 build in the North lot – and the associated survey work – will be completed in phases, and build plans will be reflected in our online checker at scotlandsuperfast.com.All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers ",458,461
Question ref. S6W-00026,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00026,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government by what date it will publish the Women’s Health Plan.,2021-05-13,2021-05-26,Answered by Maree ,The Scottish Government is making good progress with the development of a Women’s Health Plan and aims to publish it within the first 100 days of this new government.,458,461
Question ref. S6W-00073,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00073,"Asked by: Burnett, Alexander, Aberdeenshire","To ask the Scottish Government whether offshore workers can be prioritised for rescheduling their COVID-19 vaccination appointments if they are working offshore at the time of their given appointment, and whether they can have the flexibility to schedule their vaccination further in advance.",2021-05-18,2021-05-26,Answered by Maree ,"The Scottish Government greatly values the work of Scotland’s offshore workers and have been in regular discussions with Oil and Gas UK throughout this pandemic. Scottish Government appreciates and values the work that offshore workers are doing in what can be difficult circumstances.The order in which people will be offered the vaccine in Scotland is based on advice from the Joint Committee on Vaccination and Immunisation (JCVI). The Scottish Government is vaccinating in line JCVI priority as quickly as supply allows us to do so.Decisions to prioritise one population group over another are not taken lightly, nor are they straightforward. That is why prioritisation decisions are guided by the independent expert advice from the JCVI. Currently there is a mass vaccination centre open at the P&amp;J Live at TECA in Aberdeen. If any offshore worker cannot attend their appointment, they should contact the helpline to reschedule.",458,461
Question ref. S6W-00051,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00051,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government under which COVID-19 protection levels can face-to-face appointments for CAMHS autism assessments take place.,2021-05-17,2021-05-26,Answered by Kevin Ste,"Face to face appointments for CAMHS autism assessments can take place under all levels of COVID-19 protection, subject to clinical need and adherence to Covid-safe practices. ",458,461
Question ref. S6W-00045,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00045,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government, in light of its aim to keep its policies broadly aligned with those of the EU, and further to the inclusion in the European Commission’s Strategic Guidelines on Sustainable Aquaculture of a dedicated animal welfare chapter and extensive welfare provisions, whether it plans to introduce similar measures for the regulation of aquaculture in Scotland.",2021-05-14,2021-05-26,Answered by Mairi Gou,"We recognise the importance to sustainable aquaculture of high fish health and welfare standards. We will therefore consider the EU’s Strategic Guidelines on Sustainable Aquaculture alongside other sources of advice such as the UK Animal Welfare Committee, the British Veterinary Association and the Scottish Animal Welfare Commission.",458,461
Question ref. S6W-00052,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00052,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government which NHS boards are currently offering (a) online and (b) in-person CAMHS autism assessments.,2021-05-17,2021-05-26,Answered by Kevin Ste,The information requested is not held centrally. All Boards are currently offering a mix of online and face to face appointments in CAMHS. It is a matter for individual Health Boards and clinicians to determine how autism assessments are administered.,458,461
Question ref. S6W-00014,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00014,"Asked by: Wishart, Beatrice, Shetland Is","To ask the Scottish Government on which dates (a) Ministers and (b) officials met with Highlands and Islands Airports Limited (HIAL) (i) management or (ii) representatives to discuss the outcomes of the Island Communities Impact Assessment on air traffic control, and whether it will share the minutes and outcomes from those meetings.",2021-05-13,2021-05-26,Answered by Graeme,Ministers have not discussed the outcomes of the Island Communities Impact Assessment on HIAL’s Air Traffic Management 2030 Strategy with HIAL. Officials attended the HIAL Board meeting on 25 February 2021 where the issue was discussed. The minutes of the meeting are available on the HIAL web site at  https://www.hial.co.uk/downloads/file/295/hial-board-minutes-february-2021  .,458,461
Question ref. S6W-00024,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00024,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government what action it is taking to support unemployed young people into jobs.,2021-05-13,2021-05-25,Answered by Jamie Hep,"The Young Person’s Guarantee, launched in November 2020, has the ambition that, within two years, every person aged between 16 and 24 will have the opportunity to study; take up an apprenticeship, job or work experience; or participate in formal volunteering. It aims to give all young people the chance to succeed despite the economic impacts of Covid-19, while also ensuring employers continue to benefit from the fresh talent and new perspectives that young people bring to workplaces across Scotland.Through our additional investment of £60 million in 2020-21, funding has been provided for around 18,000 new and enhanced opportunities to support young people in Scotland. These opportunities include up to:11,000 opportunities through local authorities;5,000 places in colleges;1,400 new apprentice pathways; andSupport for 1,300 vulnerable 16 and 17 year olds through third sector provision from Inspiring Scotland and the Princes Trust/Barnardo’s/Action for Children consortium which provides support for care experienced young people.The early success of the Guarantee will be maintained during 2021-22. Additional investment of £125 million will go towards the Guarantee, the National Transition Training Fund, and other initiatives, ensuring the future workforce has the skills needed for a green recovery and supporting those at risk of long term unemployment. This includes personalised employment support and retraining for those who have been made unemployed or are at risk of redundancy due to the pandemic. This is in addition to our already significant investment in Education, Employability and Skills and also builds on DWP investment in Kickstart.The £70 million for the Young Person’s Guarantee will provide:an additional £45 million for local partnerships to provide training and employer recruitment incentivesa further £10 million for colleges to deliver around 5,000 more short, industry-focussed courses£10 million to continue to support the roll-out of new school coordinators as part of the internationally recognised youth employment strategy - Developing the Young Workforce£5 million for a new graduate internship scheme, increased volunteering capacity and third sector programmesThese new additional opportunities will complement our existing provision through schools, universities and colleges, our person-centered employability services Fair Start Scotland, No One Left Behind and the Employability Fund, and third sector support such as Discovering Your Potential, Our Future Now and Community Jobs Scotland. As restrictions begin to ease, we are continuing to work closely with our delivery partners to maximise the number of young people being supported into these opportunities and to enable local partnerships to respond flexibly to meet the needs of young people during this challenging time. ",458,461
Question ref. S6W-00021,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00021,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government what plans it has to introduce legislation to give effect to ""Anne’s Law"" by granting care home relatives designated legal status.",2021-05-13,2021-05-25,Answered by Kevin Ste,"We are committed to strengthening residents’ rights in adult residential settings as part of a rights-based approach to care. This will include working quickly to assess what the most effective way, or ways, would be of giving effect to Anne’s law, where residents can access their nominated relatives or friends to partner in their care or support have increased access to care homes.",458,461
Question ref. S6W-00002,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00002,"Asked by: Carlaw, Jackson, Eas",To ask the Scottish Government what consideration it has given to allowing university students arriving back in the country from studying abroad to (a) be exempted from the requirement to enter a period of managed isolation at a quarantine hotel for 10 days or (b) complete the period of quarantine at their home address.,2021-05-13,2021-05-25,Answered by Jamie Hep,"The Scottish Government has been exploring with the university sector how student accommodation could be used for the purposes of managed isolation for students returning to Scotland after a period of study abroad.Restrictions around international travel are in place to limit the risk of importing new cases and variants to Scotland. Currently, only students arriving back in Scotland from studying abroad in a ‘red-list’ country need to go into managed isolation in a hotel. Students arriving from amber list countries can complete their period of self-isolation at their home address.",459,461
Question ref. S6W-00025,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00025,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government what engagement it has had with McVitie's regarding preventing the proposed closure of its Glasgow factory, and what action it is taking to support workers at the site.",2021-05-13,2021-05-25,Answered by Kate Fo,"The Scottish Government was deeply concerned to learn that Pladis (McVitie’s) is entering into a consultation with its workforce over the potential closure of its Tollcross site. The Scottish Government has engaged with Pladis, as well as unions (GMB and Unite the Union), Glasgow City Council and local partners with a firm commitment to exploring all possible options.An Action Group has now been convened and will be co-chaired by the Cabinet Secretary for Finance and the Economy alongside Councillor Susan Aitken, Glasgow City Council. Other members of the Action group will include Trade Unions and Scottish Enterprise. The Action Group will work with the company during the consultation period to assess options for the site and support the workforce. We will pursue every opportunity to secure a viable future for the site, and we are seeking commitment from Pladis that it will be engaged in this process.",459,461
Question ref. S6W-00003,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00003,"Asked by: Carlaw, Jackson, Eas","To ask the Scottish Government what assessment it has made of the impact on university students arriving back in the country from studying abroad being asked to pay £1,750 for a 10-day period in a quarantine hotel, and whether it will consider reimbursing their full costs.",2021-05-13,2021-05-25,Answered by Jamie Hep,"The Scottish Government has been working with the university sector to explore what measures can be put in place for students returning to Scotland after an education exchange programme, who may be subject to managed isolation arrangements.These students can apply for financial hardship support from the £22 million Higher Education Coronavirus Discretionary Fund and £3m Further Education Coronavirus Discretionary Fund. These funds were allocated to the universities and colleges in February. Institutions' assessments and awards are based on the individual circumstances involved. However, the eligible scenarios can include costs associated with travel to and from Scotland if their travel is essential and in line with current travel restrictions / exemptions, and they are in financial hardship and can demonstrate this through the institution's hardship assessment process.",459,461
Question ref. S6W-00036,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00036,"Asked by: O'Kane, Paul, West Sco",To ask the Scottish Government whether funding that it would have previously spent on programmes for EU students will remain in the university sector from 2021-22.,2021-05-14,2021-05-25,Answered by Jamie Hep,The funding previously associated with providing home fee funded places for EU and associated students will remain in the college and university sectors for the next academic year 2021-22.,459,461
Question ref. S6W-00047,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00047,"Asked by: Cole-Hamilton, Alex, Edinburgh We",To ask the Scottish Government by what date the additional financial support for the taxi trade in response to the COVID-19 pandemic that the First Minister made a commitment to provide during the election campaign will be made available.,2021-05-14,2021-05-25,Answered by Kate Fo,"I refer the member to the answer to question S6W-00023 on 24 May 2021. All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers  .",459,461
Question ref. S6W-00085,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00085,"Asked by: Briggs, Miles, Lo","To ask the Scottish Government, in light of reports of cases of the so-called Indian variant of COVID-19 increasing, when it plans to offer vaccinations to under-16s, and whether it plans to prioritise young people who (a) have (i) cystic fibrosis and (ii) other serious lung conditions and (b) are otherwise clinically vulnerable.",2021-05-18,2021-05-24,Answered by Humza Yo,"The Scottish Government continues to be guided by the science and independent advice from the Joint Committee on Vaccination and Immunisation (JCVI).The Scottish Government vaccination programme adheres to strict medical guidance and JCVI advice and at present although this situation is constantly reviewed; the MHRA has not authorised any vaccines for those aged under 16 years old, across the Four Nations.If there is a change for under 16 year old then the vaccination process will be in accordance JCVI advice and supply of authorised vaccines.",459,461
Question ref. S6W-00016,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00016,"Asked by: Lockhart, Dean, Mid Scotland and",To ask the Scottish Government whether it will provide an update on when it expects the new Chief Executive of Scottish Enterprise to be in place.,2021-05-13,2021-05-24,Answered by Kate Fo,The process to recruit a new Chief Executive for Scottish Enterprise is continuing. An appointment is expected shortly.,459,461
Question ref. S6W-00031,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00031,"Asked by: Marra, Michael, North East Sco",To ask the Scottish Government by what date phase three of the Scottish Schools for the Future programme will begin.,2021-05-14,2021-05-24,Answered by Shirley-Anne Somerv,"The £1.8bn Scotland’s Schools for the Future Programme is now complete, and delivered 117 new or refurbished schools across the country. Our current school building scheme - the £2bn Learning Estate Investment Programme - aims to build on the success of the Scotland’s Schools for the Future Programme.Officials are preparing options for Phase 3 of the Learning Estate Investment Programme which will be considered by Ministers. We hope to make an announcement on the timescale for Phase 3 later this year.",459,461
Question ref. S6W-00008,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00008,"Asked by: McArthur, Liam, Orkney Is",To ask the Scottish Government whether it will provide an update on the (a) survey and remodelling work in the R100 North of Scotland lot area and (b) estimated timetable for the roll-out of superfast broadband in this area.,2021-05-13,2021-05-24,Answered by Kate Fo,"The Scottish Government provided Openreach with a finalised speed and coverage template (or SCT) for the R100 North lot contract at the end of March 2021 as outlined in response to S5W-36133 on 23 March 2021. The remodelling exercise to finalise their coverage footprint is ongoing and will be subject to rigorous review through Scottish Government governance and assurance structures, and those of Building Digital UK (BDUK). The full picture across the R100 North lot contract area is expected to be available by Summer 2021.Survey vessels have begun detailed survey work in preparation for the deployment of 16 new subsea cables.The roll-out of R100 build in the North lot – and the associated survey work – will be completed in phases, and build plans will be reflected in our online checker at scotlandsuperfast.com.All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers ",459,461
Question ref. S6W-00035,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00035,"Asked by: Marra, Michael, North East Sco",To ask the Scottish Government whether local authorities will be able to retrospectively draw down funding under the phase three timetable of the Scottish Schools for the Future programme.,2021-05-14,2021-05-24,Answered by Shirley-Anne Somerv,All projects in the Learning Estate Investment Programme have been in the design and development phase when they have been announced as part of the programme. The intention would be that this continues to be the case.,459,461
Question ref. S6W-00012,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00012,"Asked by: McArthur, Liam, Orkney Is","To ask the Scottish Government whether it will consult with island communities ahead of the introduction of the proposed ""Island Bond"", and when it anticipates this will take place.",2021-05-13,2021-05-24,Answered by Mairi Gou,"The Scottish Government has committed to developing a £5 million ‘Islands Bond’ offering 100 bonds of up to £50,000 to young people and families to stay in or to move to islands currently threatened by depopulation. In line with the Islands (Scotland) Act 2018 and the introduction of Island Community Impact Assessments, we know the importance of consulting with Island Communities and speaking to the people who are likely to be affected by any new policy, strategy or service before they are implemented. The Islands Bond is still in development and at this stage we do not have exact dates for when the consultation around this will be carried out. However, an Islands Community Impact Assessment will be completed in respect of this new policy and as part of that process, consultation will be undertaken with island communities, local authorities and key stakeholders.",460,461
Question ref. S6W-00054,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00054,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government for what reason frontline police officers have reportedly been prioritised for their COVID-19 vaccination by age profile rather than their risk of contact with the public.,2021-05-17,2021-05-24,Answered by Maree ,"The Scottish Government follows the Joint Committee on Vaccination and Immunisation (JCVI) Guidance in the planning of vaccine delivery. This evidence-based guidance advises that the single greatest risk of mortality from COVID-19 is increasing age, and that the risk increases exponentially with age.The Scottish Government greatly values the work of Scotland’s police officers and staff in keeping communities safe throughout this pandemic. They have been at the frontline of this public health response, and we are so grateful for the work they have undertaken.Decisions to prioritise one population group over another are not taken lightly, nor are they straightforward. That is why our prioritisation decisions are guided by the independent expert advice from the Joint Committee on Vaccination and Immunisation (JCVI).We are adhering to the priority list devised by the JCVI which has been designed to target those at greatest risk from COVID-19 and is estimated to address over 90 per cent of preventable mortality from the virus in Scotland. This is the priority rollout all nations of the UK are working towards and it is important that we adhere to these lists in order to avoid more lives being lost.",460,461
Question ref. S6W-00040,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00040,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government, further to the answer to question S5O-04770 by Michael Russell on 19 November 2020, and in light of the UK Government’s Animal Welfare (Sentience) Bill, whether it plans to introduce legislation that will place a prospective duty on government and ministers to pay full regard to animal welfare when formulating and implementing policy.",2021-05-14,2021-05-24,Answered by Mairi Gou,The Scottish Government will consider the nature of any duty on UK Government Ministers that may arise as a result of the Animal Welfare (Sentience) Bill and recommendations of the Scottish Animal Welfare Committee before making any plans in this area.,460,461
Question ref. S6W-00032,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00032,"Asked by: Marra, Michael, North East Sco","To ask the Scottish Government what the timetable is for the (a) application, (b) award and (c) drawdown for phase three of the Scottish Schools for the Future programme.",2021-05-14,2021-05-24,Answered by Shirley-Anne Somerv,Officials are preparing options for Phase 3 of the Learning Estate Investment Programme which will be considered by Ministers. We hope to make an announcement on the timescale for Phase 3 later this year.,460,461
Question ref. S6W-00017,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00017,"Asked by: Lockhart, Dean, Mid Scotland and",To ask the Scottish Government whether it will provide an update on when it will publish the outline business case for its proposed publicly-owned energy company.,2021-05-13,2021-05-24,Answered by Michael Math,The outline business case for the public energy company will be published once the new administration has had an opportunity to consider its conclusions and recent changes with the GB energy market. ,460,461
Question ref. S6W-00094,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00094,"Asked by: Balfour, Jeremy, Lo","To ask the Scottish Government whether, similar to Wales and Northern Ireland, it will produce guidance on school uniform supplies, regarding (a) reducing costs, (b) preventing exclusive suppliers and (c) making uniforms affordable for all, and if so, when the guidance will be delivered.",2021-05-18,2021-05-24,Answered by Shirley-Anne Somerv,"The Scottish Government recognises the cost of buying a school uniform can be considerable for many families. In 2018, in partnership with local authorities, we introduced the national minimum school clothing grant of £100 for all eligible children and young people.We are committed to developing guidance to ensure consistency on school uniform policies across all of Scotland, ending expensive insistence on exclusive suppliers and to support the automation of school clothing grants in every local authority area in order to remove barriers to application and to boost uptake. We will work with our partners in local government on the development of guidance and on measures to support the automation of school clothing grants during 2021-22.",460,461
Question ref. S6W-00018,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00018,"Asked by: Lockhart, Dean, Mid Scotland and","To ask the Scottish Government whether it will provide an update on the level of funding which has been invested each year by the Scottish National Investment Bank since it was established, including debt, equity loans or other forms of investment.",2021-05-13,2021-05-24,Answered by Kate Fo,The Scottish National Investment Bank opened for business in November 2020 and has since committed £52.5 million in investments.To date £22.9 million has been drawn and invested in both debt and equity investments that align with the Bank’s missions.The Bank will also publish annual accounts each year which will include information on how much it has invested during the financial year. Details of the Bank’s existing investments are published on the portfolio page on the Bank’s website:  www.thebank.scot/our-portfolio/  as will details of future investments.,460,461
Question ref. S6W-00023,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00023,"Asked by: Lennon, Monica, Central Sco","To ask the Scottish Government by what date taxi (a) drivers will receive their second COVID-19 grant of up to £1,500 and (b) operators will receive their £10,000 COVID-19 payment.",2021-05-13,2021-05-24,Answered by Kate Fo,The Scottish Government is working with a range of key sector stakeholders and local authorities to meet this commitment and make payments at the earliest opportunity within the first 100 days of the administration.,460,461
Question ref. S6W-00043,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00043,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government, in light of the UK Government’s plan to give financial support to farmers for animal welfare enhancements, how it plans to financially support farmers in Scotland to ensure and improve on-farm animal welfare.",2021-05-14,2021-05-24,Answered by Mairi Gou,"The Scottish Government is currently considering the recommendations of the farmer-led groups set up in the last parliament concerning future financial support for farmers. These included recommendations to improve animal health and welfare. The Scottish government is committed to working with farmers, crofters and others as we take this work forward.",460,461
Question ref. S6W-00034,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00034,"Asked by: Marra, Michael, North East Sco",To ask the Scottish Government whether local authorities with urgent priorities to build schools will be able to fund this through their own capital plans once their Scottish Schools for the Future awards are confirmed.,2021-05-14,2021-05-24,Answered by Shirley-Anne Somerv,"All schools within the Learning Estate Investment Programme are funded upfront by local authorities through their own capital plans. Scottish Government support is in the form of revenue funding, through the outcomes-based funding model. ",460,461
Question ref. S6W-00022,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00022,"Asked by: Lennon, Monica, Central Sco",To ask the Scottish Government whether it will introduce a moratorium on new incinerators.,2021-05-13,2021-05-24,Answered by Michael Math,"Our commitment to becoming a net-zero society by 2045 is unwavering. In 2019, the whole-life carbon impact of Scotland’s household waste reached its lowest level since official recording began.To further accelerate progress, Scottish Ministers are fully committed to ending the practice of sending biodegradable municipal waste to landfill by 2025. This is in line with recommendations previously made by the Committee on Climate Change.We still need capacity to dispose of residual waste, which cannot be reused or recycled, while we make the transition to a circular economy in Scotland. However, we have committed to review the role that incineration plays in Scotland’s waste hierarchy.In Scotland, it is illegal to incinerate materials that have been separately collected and are capable of being recycled, and waste incineration is strictly regulated in line with EU standards under the Pollution Prevention and Control Regulations.",461,461
Question ref. S6W-00041,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00041,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government whether it is considering a ban on (a) enriched cages for hens and (b) farrowing crates for sows.,2021-05-14,2021-05-24,Answered by Mairi Gou,The Scottish Government takes the welfare of all animals very seriously; and provision is made for the keepers of all animals to provide for their welfare under the Animal Health and Welfare (Scotland) Act 2006.The Scottish Government is aware of calls for the phasing out of enriched cages for laying hens and farrowing crates for sows across Europe and will consider these carefully.,461,461
